"Code","Event Name","Title","Composer","Arranger","Publisher [Collection]","Grade","Specification"
"100-1-15259","Band","Castle, Loch and Heath","Ployhar","","Wynn Music Publishers","1","(play two contrasting mvts)"
"100-1-15261","Band","Simple Gifts","Ployhar","","Belwin, Inc","1",""
"100-1-15262","Band","Jeannette, Isabella","Ryden","","Manhattan Beach Music","1",""
"100-1-15263","Band","The Schumann Suite","Schumann","Bulla","Curnow Music","1","(play one mvt)"
"100-1-15265","Band","Chorale Prelude: All Things Bright and Beautiful","Smith","","Claude T. Smith Publications","1",""
"100-1-15267","Band","Sakura","Traditional","Story","Belwin, Inc","1",""
"100-1-15268","Band","Three on the Isle","Stuart","","TRN Music Publisher","1","(play mvt 1 or 3)"
"100-1-15269","Band","Renaissance Suite","Susato","Curnow","Hal Leonard Music, Inc.","1","(play mvts 1 & 2 or 1 & 3)"
"100-1-15271","Band","Distant Horizons","Sweeney","","Hal Leonard Music, Inc.","1",""
"100-1-15273","Band","Brother James' Air","Bain","Wagner","Belwin, Inc","1",""
"100-1-15275","Band","Capriol Suite","Warlock","Longfield","Hal Leonard Music, Inc.","1","(play two mvts)"
"100-1-15276","Band","Tunbridge Meadows","Williams","","Alfred Music Company, Inc.","1",""
"100-1-15277","Band","Two Classic Miniatures","Haydn","Williams","Alfred Music Company, Inc.","1",""
"100-1-25150","Band","Fantasy On An Irish Air","Saucedo","","Hal Leonard Music, Inc.","1",""
"100-1-25155","Band","Variants On An Australian Song","Alberty","","RBC Publications","1",""
"100-1-25156","Band","Stratosphere","Beckham","","Grand Mesa Music Publishers","1",""
"100-1-25157","Band","Phantom Ship","Del Borgo","","FJH Music Company","1",""
"100-1-25160","Band","Pinnacle","Grice","","Grand Mesa Music Publishers","1",""
"100-1-25161","Band","Norwegian Legend","Grieg","Forsblad","Grand Mesa Music Publishers","1",""
"100-1-25163","Band","Cascadia Celebration","Hodges","","Alfred Music Company, Inc.","1",""
"100-1-25164","Band","Scarborough Fair","Moss","","Hal Leonard Music, Inc.","1",""
"100-1-25166","Band","Court Festival","Pearson","","Neil A. Kjos Music Company","1",""
"100-1-25167","Band","Ming Court","Pitter","","Neil A. Kjos Music Company","1",""
"100-1-25169","Band","A Joyful Journey","Sheldon","","Alfred Music Company, Inc.","1",""
"100-1-25170","Band","Dance Celebration","Smith","","Belwin, Inc","1",""
"100-1-25171","Band","Serengeti Dreams","Smith","","Belwin, Inc","1",""
"100-1-25172","Band","Ayrshire Portrait","Story","","Belwin, Inc","1",""
"100-1-25174","Band","Song of Hope","Swearingen","","C.L. Barnhouse Company","1",""
"100-1-25175","Band","Gathering In The Glen","Sweeney","","Hal Leonard Music, Inc.","1",""
"100-1-25176","Band","The Rychemount Chronicles","Turnbull","","Multiple Publishers;Studio Publications;Southern Music Company","1","(play two mvts)"
"100-1-25178","Band","Wolseys Wilde","Byrd","McGinty","Queenwood Publications","1",""
"100-1-25179","Band","Cedar Canyon Round Up","Williams","","Alfred Music Company, Inc.","1",""
"100-1-25180","Band","Korean Hill Song","Williams","","Alfred Music Company, Inc.","1",""
"100-1-28201","Band","Courtlandt County Festival","Owens","","TRN Music Publisher","1",""
"100-1-28213","Band","Cahokia","Spears","","Great Works Publishing","1",""
"100-1-28230","Band","Ye Banks and Braes O' Bonnie Doon","Anon. or Trad.","Sweeney","Hal Leonard Music, Inc.","1",""
"100-1-28240","Band","The Band in the Square on the Fourth of July","La Plante","","Daehn Publications","1",""
"100-1-28243","Band","Little Brazil Suite","Balent","","Great Works Publishing","1",""
"100-1-28245","Band","Song for the Winter Moon","Cummings","","Grand Mesa Music Publishers","1",""
"100-1-28252","Band","While I Watch the Yellow Wheat","Daehn","","Daehn Publications","1",""
"100-1-28255","Band","Symphony No. 15 - Finale","Mozart","Daehn","Daehn Publications","1",""
"100-1-28261","Band","Early One Morning","Stubbs","","Multiple Publishers;Studio Publications;Southern Music Company","1",""
"100-1-28274","Band","Danse Antiqua","Sharp","","FJH Music Company","1",""
"100-1-28633","Band","An Irish Air","Anon. or Trad.","Sheldon","Alfred Music Company, Inc.","1",""
"100-1-28640","Band","A New World Adventure","Court","","Curnow Music","1",""
"100-1-28643","Band","George Washington Suite","Hannickel","","Curnow Music","1","(play mvt 2 plus one other)"
"100-1-28644","Band","Andante con Moto","Schubert","Bulla","Curnow Music","1",""
"100-1-28652","Band","Chippewa Lullaby","Anon. or Trad.","McGinty","Queenwood Publications","1",""
"100-1-28653","Band","Starship","O'Reilly","","Alfred Music Company, Inc.","1",""
"100-1-28655","Band","Skye Boat Song","Anon. or Trad.","O'Reilly","Alfred Music Company, Inc.","1",""
"100-1-28656","Band","Crusade","Gassi","","Alfred Music Company, Inc.","1",""
"100-1-28658","Band","Shenandoah","Anon. or Trad.","Smith/Story","Belwin, Inc","1",""
"100-1-28659","Band","Russian Folk Dance","Lucas","","Belwin, Inc","1",""
"100-1-28660","Band","Canticle","Wagner","","Belwin, Inc","1",""
"100-1-28662","Band","Uskudar","Anon. or Trad.","Smith/Story","Belwin, Inc","1",""
"100-1-29131","Band","Three Renaissance Dances","Anon. or Trad.","Moss","Hal Leonard Music, Inc.","1","(play mvt 1 or 3)"
"100-1-30049","Band","Alpine Meadow","Hodges","","Alfred Music Company, Inc.","1",""
"100-1-30050","Band","Autumn Colors","O'Reilly","","Alfred Music Company, Inc.","1",""
"100-1-30051","Band","Azure Hills","Hodges","","Alfred Music Company, Inc.","1",""
"100-1-30052","Band","Big Sky Round-Up","Sheldon","","Alfred Music Company, Inc.","1",""
"100-1-30053","Band","Corps of Discovery","Owens","","FJH Music Company","1",""
"100-1-30054","Band","Elizabethan Dance","Williams","","Alfred Music Company, Inc.","1",""
"100-1-30055","Band","Enchanted Island","Rouse","","Manhattan Beach Music","1",""
"100-1-30056","Band","Fortis","Gazlay","","Neil A. Kjos Music Company","1",""
"100-1-30057","Band","Gymnopedie No. 1","Satie","Bullock","Alfred Music Company, Inc.","1",""
"100-1-30058","Band","Iroquois Sunrise","Rudgers","","Grand Mesa Music Publishers","1",""
"100-1-30059","Band","Kingstree Overture","McGinty","","Neil A. Kjos Music Company","1",""
"100-1-30060","Band","Lux Prima (Come, My Soul, Thou Must Be Awakening)","Haydn","Ford","Alfred Music Company, Inc.","1",""
"100-1-30061","Band","Majestica","Gazlay","","Neil A. Kjos Music Company","1",""
"100-1-30062","Band","Mythos","Bernotas","","Daehn Publications","1",""
"100-1-30064","Band","Royal Gardens","Vertoske","","Grand Mesa Music Publishers","1",""
"100-1-30065","Band","Summit Fanfare","Owens","","FJH Music Company","1",""
"100-1-30066","Band","The Spacious Firmament on High","Sharp","","FJH Music Company","1",""
"100-1-30751","Band","Challenger Point","Johnson","","Curnow Music","1",""
"100-1-30752","Band","Exhortation","Gazlay","","Neil A. Kjos Music Company","1",""
"100-1-30753","Band","Highland Salute","Katz","","Northeastern Music Publications","1",""
"100-1-30754","Band","Mystery Ride","White","","Grand Mesa Music Publishers","1",""
"100-1-31016","Band","Conviction","Clark","","Carl Fischer, Inc.","1",""
"100-1-31017","Band","First Light","Ticheli","","Manhattan Beach Music","1",""
"100-1-31018","Band","Ghost Ship","Story","","Alfred Music Company, Inc.","1",""
"100-1-31019","Band","Heroes Triumphant","Owens","","FJH Music Company","1",""
"100-1-31020","Band","Odyssey","Branchfield","","LudwigMasters Publications","1",""
"100-1-32043","Band","Armory","Standridge","","Grand Mesa Music Publishers","1",""
"100-1-32044","Band","Dancing Kites","Bernotas","","Alfred Music Company, Inc.","1",""
"100-1-32045","Band","Ecossaise for Military Band","Beethoven","Stalter","Alfred Music Company, Inc.","1",""
"100-1-32046","Band","Qin Shi's Stone Army","Arcari","","Carl Fischer, Inc.","1",""
"100-1-32047","Band","Skylight","Hodges","","Alfred Music Company, Inc.","1",""
"100-1-33108","Band","For King and Crown","Branchfield","","LudwigMasters Publications","1",""
"100-1-33109","Band","Dorian Chant","Calhoun","","Carl Fischer, Inc.","1",""
"100-1-33110","Band","Cloud Dancing","Clark","","Carl Fischer, Inc.","1",""
"100-1-33111","Band","The Tears of Arizona","Balmages","","FJH Music Company","1",""
"100-1-33112","Band","For the Beauty of the Earth","Del Borgo","","MSB","1",""
"100-1-33113","Band","Night Fury","Chambers","","Carl Fischer, Inc.","1",""
"100-1-33230","Band","Plaza de Toros","Story","","Belwin, Inc","1",""
"100-1-33267","Band","Journey of the Bonfire","Owens","","FJH Music Company","1",""
"100-1-33270","Band","Shadow of the Longship","Rath","","FJH Music Company","1",""
"100-1-33272","Band","Bazaar","Standridge","","Grand Mesa Music Publishers","1",""
"100-1-33790","Band","Chester","Billings","Osterling","Hal Leonard Music, Inc.","1",""
"100-1-34106","Band","Synchronized Energy","Fhiaras","","Grand Mesa Music Publishers","1",""
"100-1-34855","Band","City at Dusk","Nowlin","","Neil A. Kjos Music Company","1",""
"100-1-34856","Band","Lion's Gate","Sheldon","","FJH Music Company","1",""
"100-1-34857","Band","Alman","Morley","De Stefano","FJH Music Company","1",""
"100-1-34858","Band","The Oncoming Storm","Rogers","","FJH Music Company","1",""
"100-1-34859","Band","Lost Woods Fantasy","Hall","","FJH Music Company","1",""
"100-1-34860","Band","At The Water's Edge","Romeyn","","C.L. Barnhouse Company","1",""
"100-1-34861","Band","Golden Dawn","Terry","","Excelcia","1",""
"100-1-34862","Band","Zig Zag","O'Loughlin","","Excelcia","1",""
"100-1-34863","Band","Tower of Inspiration","Thurston","","Excelcia","1",""
"100-1-34864","Band","In Autumn’s Moonlight","Samuel","","Excelcia","1",""
"100-1-36652","Band","Acropolis","Putnam","","Excelcia","1",""
"100-1-36653","Band","Annunciation","Story","","Alfred Music Company, Inc.","1",""
"100-1-36654","Band","Attack Of The Colossus","McBride","","C.L. Barnhouse Company","1",""
"100-1-36655","Band","Down By the Sally Gardens","Yeats","Roszell","Alfred Music Company, Inc.","1",""
"100-1-36656","Band","Fortune Favors the Bold","Putnam","","Excelcia","1",""
"100-1-36657","Band","Gothic","Arcari","","Excelcia","1",""
"100-1-36658","Band","Great Beginnings","Kamuf","","Alfred Music Company, Inc.","1",""
"100-1-36659","Band","Let Thy Good Spirit","Burger","","GPG Music","1",""
"100-1-36660","Band","The Hope Of Tomorrow","Wada","","C.L. Barnhouse Company","1",""
"100-1-36661","Band","A Summer’s Knight","Terry","","Excelcia","1",""
"100-1-36662","Band","Throne of Swords","Miller","","Excelcia","1",""
"100-1-36663","Band","Trust And Obey","Sammis & Towner","Smith","C.L. Barnhouse Company","1",""
"100-1-36664","Band","Mercury Rising","Milford","","Excelcia","1",""
"100-1-36665","Band","Strength and Honor","O'Loughlin","","Excelcia","1",""
"100-1-36666","Band","Vulcan’s Forge","Roszell","","Alfred Music Company, Inc.","1",""
"100-1-37759","Band","Pirates Cove Adventure","Fhiaras","","Grand Mesa Music Publishers","1",""
"100-1-37760","Band","A Scottish Festival","Balmages","","FJH Music Company","1",""
"100-1-37761","Band","Wings to the Mind","Balmages","","FJH Music Company","1",""
"100-1-37762","Band","Arctic Wars","Balmages","","FJH Music Company","1",""
"100-1-37763","Band","Champions Rising","Sims","","FJH Music Company","1",""
"100-1-37764","Band","Rust Belt","Owens","","FJH Music Company","1",""
"100-1-37765","Band","Storm","Newbold","","FJH Music Company","1",""
"100-1-38025","Band","Dragon Run","Bernotas","","Alfred Music Company, Inc.","1",""
"100-1-38026","Band","Flash","Beck","","Alfred Music Company, Inc.","1",""
"100-1-38027","Band","The Cherry Tree","Beck","","Alfred Music Company, Inc.","1",""
"100-1-38028","Band","Watch Out","Beck","","Alfred Music Company, Inc.","1",""
"100-1-38029","Band","American River Medley","Wagner","","Belwin, Inc","1",""
"100-1-38030","Band","Soaring Valor","Samuel","","Excelcia","1",""
"100-1-38031","Band","Brace for Impact","Huss","","Excelcia","1",""
"100-1-38032","Band","A Jubilant Spirit","Chambers","","Excelcia","1",""
"100-1-38033","Band","Fortress of Stone","Arcari","","Excelcia","1",""
"100-1-38034","Band","The World's Greatest Show!","Owens","","FJH Music Company","1",""
"100-1-38035","Band","Fortify","LaBrie","","FJH Music Company","1",""
"100-1-38036","Band","Action Scene","Balmages","","FJH Music Company","1",""
"100-1-38037","Band","Fanfare for the 16th Empire","Standridge","","Randall Standridge Music","1",""
"100-1-38038","Band","Warriors of the 16th Empire","Standridge","","Randall Standridge Music","1",""
"100-1-38039","Band","Spring","Standridge","","Randall Standridge Music","1",""
"100-2-15192","Band","Chorale and Fugue in F Major","Bach","Daehn","Daehn Publications","2","(Chorale only)"
"100-2-15196","Band","Chester","Billings","Tolmage","Staff Music Publishing Company","2",""
"100-2-15205","Band","Korean Folk Rhapsody","Curnow","","Hal Leonard Music, Inc.","2",""
"100-2-15216","Band","Three English Folk Songs","Edmondson","","C.L. Barnhouse Company","2",""
"100-2-15217","Band","Three Scottish Folk Songs","Edmondson","","C.L. Barnhouse Company","2",""
"100-2-15219","Band","Norwegian Folk Song Suite","Erickson","","Bourne, Co.","2",""
"100-2-15226","Band","Kentucky 1800","Grundman","","Boosey & Hawkes, Inc.","2",""
"100-2-15236","Band","Shenandoah Valley","Kinyon","","Alfred Music Company, Inc.","2",""
"100-2-15264","Band","Pevensey Castle","Sheldon","","Birch Island Music Press","2",""
"100-2-15270","Band","Reflections","Swearingen","","C.L. Barnhouse Company","2",""
"100-2-15278","Band","River Valley Serenade","Anon. or Trad.","Wilson","Alfred Music Company, Inc.","2",""
"100-2-15279","Band","A Susato Prelude","Akey","","Queenwood Publications","2",""
"100-2-15280","Band","Bosnian Folk Songs","Allen","","TRN Music Publisher","2",""
"100-2-15281","Band","Chanteys","Andrews","","Shawnee Press","2",""
"100-2-15282","Band","Hill Songs","Andrews","","Shawnee Press","2",""
"100-2-15283","Band","Belle Qui Tiens Ma Vie","Arbeau","Margolis","Manhattan Beach Music","2",""
"100-2-15284","Band","English Dances, Set I","Arnold","Johnstone","Lengnick","2","(play one mvt)"
"100-2-15285","Band","English Dances, Set II","Arnold","Herbert","Lengnick","2","(play one mvt)"
"100-2-15288","Band","Bach Chorale and March","Bach","Wilson","Alfred Music Company, Inc.","2",""
"100-2-15289","Band","Fugue in Bb Major","Bach","Daehn","Daehn Publications","2",""
"100-2-15290","Band","An Irish Interlude","Barker","","Alfred Music Company, Inc.","2",""
"100-2-15291","Band","Westridge Overture","Barnes","","Southern Music Company","2",""
"100-2-15292","Band","Yorkshire Ballad","Barnes","","Southern Music Company","2",""
"100-2-15293","Band","Loch Lomond","Black","","Alfred Music Company, Inc.","2",""
"100-2-15295","Band","Prelude and Scherzo","Brahms","Hubbell","Ludwig Music Publishing Company","2",""
"100-2-15296","Band","America Verses","Broege","","Manhattan Beach Music","2",""
"100-2-15300","Band","Three Preludes","Bruckner","Broege","Daehn Publications","2","(play one)"
"100-2-15301","Band","Blue Mountain Saga","Bulla","","Curnow Music","2",""
"100-2-15302","Band","Legend of Knife River","Bulla","","Curnow Music","2",""
"100-2-15304","Band","An Irish Tribute","Conley","","Boosey & Hawkes, Inc.","2","(POP)"
"100-2-15305","Band","Canterbury Coronation","Curnow","","Curnow Music","2",""
"100-2-15306","Band","Russian Folk Fantasy","Curnow","","Hal Leonard Music, Inc.","2",""
"100-2-15308","Band","Flight of Eagles","Del Borgo","","Hal Leonard Music, Inc.","2",""
"100-2-15309","Band","Songs Of The Whalemen","Del Borgo","","Hal Leonard Music, Inc.","2",""
"100-2-15310","Band","Two British Folk Songs","Del Borgo","","Hal Leonard Music, Inc.","2",""
"100-2-15311","Band","Orlando Suite","di Lasso","DeHaan","De Haske Publications","2",""
"100-2-15312","Band","Early English Suite","Duncombe","Finlayson","Boosey & Hawkes, Inc.","2",""
"100-2-15313","Band","As Torrents in Summer","Elgar","Davis","Ludwig Music Publishing Company","2",""
"100-2-15314","Band","Aria Cantabile","Erickson","","Belwin, Inc","2",""
"100-2-15315","Band","Balladair","Erickson","","Bourne, Co.","2",""
"100-2-15316","Band","Barcarolle","Erickson","","Alfred Music Company, Inc.","2",""
"100-2-15318","Band","Baroque Celebration","Forsblad","","Alfred Music Company, Inc.","2",""
"100-2-15320","Band","Italian Masters Suite","Gordon","","Marks Music Corporation","2",""
"100-2-15323","Band","Mini Suite","Gould","","Hal Leonard Music, Inc.","2",""
"100-2-15326","Band","Lincolnshire Posy","Grainger","Fennell/Lud","Multiple Publishers;Ludwig Music Publishing Company;G. Schirmer, Inc.","2","(play one mvt)"
"100-2-15327","Band","Two Grainger Melodies","Grainger","Kreines","C.L. Barnhouse Company","2","(play mvt 1)"
"100-2-15328","Band","Little English Suite","Grundman","","Boosey & Hawkes, Inc.","2",""
"100-2-15329","Band","The Black Knight","Grundman","","Boosey & Hawkes, Inc.","2",""
"100-2-15330","Band","Air and Finale","Handel","Balent","Carl Fischer, Inc.","2","(POP)"
"100-2-15332","Band","La Rejouissance","Handel","Williams","Alfred Music Company, Inc.","2",""
"100-2-15333","Band","The Harmonious Blacksmith","Handel","Osterling","Hal Leonard Music, Inc.","2",""
"100-2-15334","Band","Little Schumann Set","Anon. or Trad.","Hartzell","Manhattan Beach Music","2",""
"100-2-15335","Band","Barbarossa","Himes","","Neil A. Kjos Music Company","2",""
"100-2-15338","Band","Kenya Contrasts","Himes","","Curnow Music","2",""
"100-2-15340","Band","Old Home Days","Ives","Elkus","Peer/Southern Organization","2","(play two mvts)"
"100-2-15341","Band","Three Chinese Miniatures","Jager","","Neil A. Kjos Music Company","2",""
"100-2-15342","Band","Scenes From a Royal Tapestry","Johnson","","G&M Brand","2","(play at least three mvts)"
"100-2-15343","Band","Three Folk Miniatures","Anon. or Trad.","Jutras","C.L. Barnhouse Company","2","(play mvts 1 & 2 OR mvt 3)"
"100-2-15344","Band","Blue Ridge Rhapsody","Kinyon","","Alfred Music Company, Inc.","2",""
"100-2-15345","Band","Overture on a Minstrel Tune","La Plante","","Bourne, Co.","2",""
"100-2-15346","Band","Court Festival","Latham","","Multiple Publishers;Belwin, Inc;Alfred Music Company, Inc.","2","(play two contrasting mvts)"
"100-2-15347","Band","Fanfare, Ode and Festival","Margolis","","Manhattan Beach Music","2","(play all)"
"100-2-15348","Band","The Red Balloon","McGinty","","Queenwood Publications","2",""
"100-2-15349","Band","Elegy","Mendelssohn","Erickson","Belwin, Inc","2",""
"100-2-15350","Band","In a French Garden","Meyer","","Alfred Music Company, Inc.","2",""
"100-2-15351","Band","Knights of Dunvegan","Meyer","","Alfred Music Company, Inc.","2",""
"100-2-15353","Band","From an 18th Century Album","Myers","","TRN Music Publisher","2","(play all)"
"100-2-15354","Band","Renaissance Dances","Myers","","Lake State Publications","2",""
"100-2-15355","Band","Connemara Sketches","Osborne","","William Allen Music, Inc.","2",""
"100-2-15356","Band","The Piper and the Captain","Osborne","","Southern Music Company","2",""
"100-2-15358","Band","Castle, Loch and Heath","Ployhar","","Wynn Music Publishers","2",""
"100-2-15359","Band","A Walk With McCarley","Ragsdale","","Southern Music Company","2",""
"100-2-15360","Band","Pavane","Ravel","Smith","Belwin, Inc","2",""
"100-2-15361","Band","Three Russian Cameos","Rhoads","","TRN Music Publisher","2","(play mvts 1 & 2 or 2 & 3)"
"100-2-15362","Band","Tres Danzas de Mexico","Rhoads","","TRN Music Publisher","2","(play one mvt)"
"100-2-15363","Band","The Schumann Suite","Schumann","Bulla","Curnow Music","2",""
"100-2-15364","Band","A Longford Legend","Sheldon","","Alfred Music Company, Inc.","2","(play one mvt)"
"100-2-15365","Band","Crest of Nobility","Sheldon","","C.L. Barnhouse Company","2",""
"100-2-15366","Band","West Highlands Sojourn","Sheldon","","C.L. Barnhouse Company","2","(play two contrasting mvts)"
"100-2-15367","Band","Air for Winds","Shelton","","Ludwig Music Publishing Company","2",""
"100-2-15370","Band","Variations on an English Folk Song","Smith","","Claude T. Smith Publications","2",""
"100-2-15372","Band","Canterbury Walk","Strommen","","Alfred Music Company, Inc.","2",""
"100-2-15373","Band","Cumberland Cross","Strommen","","Alfred Music Company, Inc.","2",""
"100-2-15375","Band","Three Ayres From Gloucester","Stuart","","Shawnee Press","2","(play mvt 2 and one other mvt)"
"100-2-15376","Band","Three on the Isle","Stuart","","TRN Music Publisher","2","(play mvt 2 & one other mvt)"
"100-2-15377","Band","Three Songs From Sussex","Stuart","","Shawnee Press","2","(play mvt 2 & one other mvt)"
"100-2-15378","Band","Renaissance Suite","Susato","Curnow","Hal Leonard Music, Inc.","2",""
"100-2-15379","Band","The Battle Pavane","Susato","Margolis","Manhattan Beach Music","2",""
"100-2-15380","Band","Blue Ridge Saga","Swearingen","","C.L. Barnhouse Company","2",""
"100-2-15382","Band","Two Gaelic Folk Songs","Anon. or Trad.","Tyra","C.L. Barnhouse Company","2",""
"100-2-15383","Band","Melodia D'Amore","van Beringen","","De Haske Publications","2",""
"100-2-15384","Band","Linden Lea","Vaughan Williams","Stout","Boosey & Hawkes, Inc.","2",""
"100-2-15386","Band","Slane","Anon. or Trad.","Wagner","Belwin, Inc","2",""
"100-2-15387","Band","Capriol Suite","Warlock","Longfeld","Hal Leonard Music, Inc.","2",""
"100-2-15388","Band","Arioso","Williams","","Masters Music Publications","2",""
"100-2-15389","Band","Australian Folk Fantasy","Williams","","Alfred Music Company, Inc.","2",""
"100-2-15390","Band","Campbell River Sketches","Williams","","Alfred Music Company, Inc.","2",""
"100-2-15391","Band","Greenwillow Portrait","Williams","","Alfred Music Company, Inc.","2",""
"100-2-25151","Band","Glen Canyon Overture","Edmondson","","Kendor Music, Inc.","2",""
"100-2-25162","Band","Maranatha","Harbaugh","","TRN Music Publisher","2",""
"100-2-25173","Band","Medieval Legend","Story","","Belwin, Inc","2",""
"100-2-25181","Band","Two Irish Sketches","Black","","Alfred Music Company, Inc.","2","(play mvt 2 only)"
"100-2-25182","Band","Sleep Gently, My Child","Brahms","Mahaffey","Southern Music Company","2",""
"100-2-25183","Band","The Steppes of Russia","Del Borgo","","Concert Works Unlimited","2",""
"100-2-25184","Band","Dolce and Dance","Fagan","","Alfred Music Company, Inc.","2",""
"100-2-25185","Band","In My Native Country","Grieg","Karrick","Daehn Publications","2",""
"100-2-25187","Band","Catch The Wind","Hannickel","","Curnow Music","2",""
"100-2-25188","Band","George Washington Suite","Hannickel","","Curnow Music","2","(play all)"
"100-2-25190","Band","Marching Song","Holst","Moss","Hal Leonard Music, Inc.","2",""
"100-2-25191","Band","Sons of Liberty, Songs of the American Revolution","Neeck","","C.L. Barnhouse Company","2",""
"100-2-25192","Band","Under An Irish Sky","Neeck","","C.L. Barnhouse Company","2",""
"100-2-25193","Band","River of Dreams","Lopez","","Belwin, Inc","2",""
"100-2-25195","Band","The Wexford Carol","McGinty","","Neil A. Kjos Music Company","2",""
"100-2-25196","Band","Quintology","Meyer","","Alfred Music Company, Inc.","2",""
"100-2-25197","Band","Highland Legend","Moss","","Hal Leonard Music, Inc.","2",""
"100-2-25198","Band","A Renaissance Pageant","Praetorius","Harnsberger","Alfred Music Company, Inc.","2","(play at least two mvts)"
"100-2-25199","Band","Prairie Schooner","Preuninger","","Alfred Music Company, Inc.","2",""
"100-2-25200","Band","Two Songs by Edward McDowell","McDowell","Stuart","Concert Works Unlimited","2","(play first mvt only)"
"100-2-25201","Band","Simple Gifts, Four Shaker Songs","Ticheli","","Manhattan Beach Music","2","(play any mvt)"
"100-2-25202","Band","The Rychemount Chronicles","Turnbull","","Studio Publications","2","(play all)"
"100-2-25203","Band","Three Studies in English Folk Song","Vaughan Williams","Harbinson","Alfred Music Company, Inc.","2","(play mvts 1 & 2, or mvt 3 only)"
"100-2-28174","Band","Old Churches","Colgrass","","ACFP","2",""
"100-2-28182","Band","A Renaissance Revel","Susato","Singleton","Grand Mesa Music Publishers","2","(play three mvts)"
"100-2-28199","Band","Chorale Prelude - For the Beauty of the Earth","Colquitt","","Twin Towers Music Publications","2",""
